asset_version_id,asset_id,client_name,default_vintage_model_id,name_y,version_actif,type,status,asset_building_type,surface,accessible_entrance,accessible_lift,accessible_toilets,aem,air_conditioning_system,air_filtration,alt_gen,appli_security,asbestos,auditorium,bim_and_buildings_structure_data,bms_light,bms_thermal,carcass,caretaker,catering,ceiling_height,central,central_core_elevator_lobby_ccel,circulation,co2_hvac,co2_parking,compliance_score,corridor,data_security,daylight,dead_spaces,delivery,digital_services,double_glazing,elevator_distribution,end_point_security,energy_diagnosis,entrance,external_acoustic_insulation,external_structure,facade,fibre_distribution,fibre_equipment,fire_detection,fire_protection_systems,flood_resist,freight_elevator,garden_and_atrium,hermetic_envelope,hotel,hvac_age,hvac_obsolescence,hygrometry,industrial_technological_resist,inter_slab,internal_acoustic_insulation,internal_structure,internet_redundancy,internet_type,itc,last_refurbishment,lead,light_control,lighting_obsolescence,lobby,max_dens,meeting_zone,mining_resist,mobile_phone_signal,multifamily,network_security,nursery,parkings,physical_security,pml_seismic,proximity,public_access,raised_floor,reception,refurbishment_workspace,renewable_energy,restaurant,retail,reverberation,secure_telecom,secured_spaces,signature,smoke,south,spare_capacity,stairs,steps,suspended_ceiling,systems_back_up,telecom_age,terminal,terrace,thickness,training_room,transfer,transparency,typhoon_resist,upper_transfer,ups,ventilation,versatility_of_spaces,vertical_ways,view,voc_reduction,wall_insulation,wastes_sorting,water_obsolescence,water_recycling
8441,145,Groupama,12,Diamant,V2,BaseAssetVersion,ACTUAL,STANDARD,12929,0,0,0,0,1,1,0,1,0,1,-2,1,1,0,1,1,-1,0,1,0,1,0,1,0,1,1,0,1,1,0,-1,1,-1,1,0,0,1,1,2,0,0,,1,0,0,1,0,0,1,,-1,1,1,1,1,1,-2,0,0,0,1,-2,1,-1,1,1,1,0,0,1,2,-2,1,-1,1,0,0,1,-1,1,1,0,0,1,1,1,0,0,0,-1,-1,-1,0,-2,0,-1,0,,0,2,0,0,1,0,2,0,1,1,1
8440,144,Groupama,12,89 Niel,V2,BaseAssetVersion,ACTUAL,HAUSSMANIEN,703,0,0,0,0,0,1,0,-1,0,0,-2,1,1,0,0,-1,0,0,1,0,0,,1,0,-1,-1,0,1,-1,0,-1,-1,,1,0,0,1,1,2,0,0,,0,1,0,1,0,-1,-1,,0,-1,-1,1,1,0,2,0,0,2,1,0,1,,1,1,-1,0,-1,1,2,-2,0,-1,1,2,0,-1,-1,-1,0,-1,0,0,2,,0,0,0,-1,-1,0,0,-1,0,,-2,,0,2,-1,0,1,0,0,0,1,-1,0
8098,142,Groupama,12,38Peletier,V2,BaseAssetVersion,ACTUAL,HAUSSMANIEN,2641,0,0,0,0,2,1,0,-1,0,0,-2,1,1,0,0,1,-1,0,0,0,,0,1,0,-1,2,0,1,-1,0,-1,-1,0,1,0,0,1,-1,2,0,0,,0,1,0,1,-2,-2,1,,-1,1,0,0,1,1,2,0,0,-2,1,2,1,,1,1,-1,0,0,-1,2,-2,1,-1,1,-2,0,-1,-1,1,1,0,0,1,2,,-1,0,0,-1,-2,-1,2,-1,0,0,-2,,0,2,0,0,1,0,0,0,1,1,1
8558,129,AEW,12,Seizame,V2,BaseAssetVersion,ACTUAL,STANDARD,12263,0,0,0,0,2,1,2,,0,1,0,1,1,,1,1,-1,-1,1,0,1,,1,0,,0,0,1,,0,0,,0,1,0,1,1,,1,0,1,,1,1,0,1,2,2,1,,,1,1,0,1,1,2,0,1,2,2,0,1,,,1,,1,0,,2,-2,2,-1,1,2,0,1,-1,1,0,0,1,0,1,1,-1,0,0,,,0,2,2,0,0,2,,0,2,0,0,1,1,2,0,1,1,1
8551,127,AEW,12,Le Focus,V3,BaseAssetVersion,ACTUAL,STANDARD,10123,0,0,0,0,2,1,0,,0,0,-2,1,1,-1,1,1,-1,0,1,0,0,0,1,0,,0,0,1,,0,0,,1,1,0,1,1,,1,0,1,,1,0,,1,1,0,,,-2,,1,,1,1,0,0,0,0,0,-1,1,,,1,,0,0,1,2,-2,0,0,1,2,0,-1,-1,1,,0,0,1,1,1,0,0,0,,,0,2,2,0,0,0,,0,2,0,0,1,1,2,-1,1,-1,0
8549,125,AEW,12,Bourse AMF,V2,BaseAssetVersion,ACTUAL,STANDARD,7073,-1,-1,-1,0,1,1,2,,0,0,-2,1,1,,1,1,-2,-1,1,0,1,1,1,0,,0,0,1,,0,0,,-1,1,,1,0,,2,0,1,,0,1,0,1,-1,-2,,,-2,,-1,0,1,1,-2,0,1,-2,1,-2,1,,,1,,0,0,1,2,-2,,-1,1,-2,1,-1,-1,,1,0,0,1,1,,-1,0,0,,,0,1,1,0,0,0,,0,2,0,0,,2,,0,1,1,1
8563,124,AEW,12,Tour W,V2,BaseAssetVersion,ACTUAL,TOUR_IGH,37793,0,0,0,0,2,,2,,0,0,-2,1,1,-1,0,1,-1,-1,1,0,0,0,1,0,,2,0,1,,0,0,,-2,1,,0,1,,1,0,1,,1,0,-1,1,-1,-2,,,,,2,,1,1,-2,0,0,-2,1,,1,,,1,,0,-1,,2,0,,0,1,2,0,1,-1,,1,0,0,1,2,,-1,0,0,,,0,0,-2,1,-1,2,,0,2,0,0,,1,,0,,,
8562,123,AEW,12,Tour Initiale,V2,BaseAssetVersion,ACTUAL,TOUR_IGH,33555.89,-1,-1,0,0,2,1,2,,0,1,1,1,1,0,1,1,-1,0,1,0,1,,1,0,,2,0,1,,0,0,,-2,1,-1,1,0,1,1,0,1,,1,0,0,-1,2,2,1,,,-1,1,1,1,0,2,0,1,2,1,-2,1,,,-1,,0,0,1,2,1,2,-1,1,2,0,1,1,-1,0,0,1,1,1,,-1,0,0,-1,2,-1,0,-2,0,0,0,,-1,2,0,0,1,0,,-1,1,-1,0
8111,122,AEW,12,Eurostade Est,V2,BaseAssetVersion,ACTUAL,STANDARD,13670,0,-1,-1,-1,2,1,2,,0,0,-2,0,0,0,0,1,-1,0,1,0,,,1,,,2,0,1,,0,0,,-2,1,,1,1,,1,0,1,,1,1,0,1,2,-1,,,,,1,,1,,-2,0,1,-1,1,,1,,,1,,0,0,,2,-2,0,-1,1,2,0,1,-1,,1,0,0,1,2,1,-2,0,0,,,-1,1,-2,0,0,-1,,0,2,0,0,1,0,,0,1,,
8512,120,AEW,12,Christophe Colomb 2,V2,BaseAssetVersion,ACTUAL,STANDARD,8738,0,0,0,0,2,,0,,0,0,,,1,0,0,1,-1,-1,1,0,,,1,0,,2,0,1,,0,0,,0,0,,0,0,,2,0,1,,1,1,0,1,-1,-2,,,1,,1,,1,,-2,0,,,1,,1,,,1,,0,0,,2,-2,,0,1,-2,0,1,-1,,1,0,0,1,1,,-2,0,0,,,,1,-2,0,-1,-1,,0,0,0,0,1,0,,,1,,0
7953,117,La Française,12,CT Finances,V2,BaseAssetVersion,ACTUAL,STANDARD,2646,0,0,0,0,2,,1,,0,,,0,1,0,,,,0,1,0,,0,1,0,,-1,0,,,0,0,,-1,1,,0,0,,2,0,0,,0,1,-1,,0,0,,,,,-1,,1,1,-2,0,1,-2,1,1,,,,,,,,,2,-2,,-1,,-2,0,,,,1,0,0,0,1,,-1,0,0,,-2,0,1,1,,0,1,,0,0,0,,,-1,,0,0,-1,0
